,user,text,favorite_count,retweet_count,created_at
66,ChennaiIPL,"Next 🆙 on Calcutta Diaries! 

#INDvSL #WhistlePodu 🦁💛 https://t.co/bqVlMeF5fP",1790,85,2023-01-12 06:29:08+00:00
67,ChennaiIPL,"The Yellove flag flew high yesterday! 💛

#EverywhereWeGo #WhistleForJoburg 🦁💛 https://t.co/oZ8OK9f0iy",2820,152,2023-01-12 05:25:53+00:00
68,ChennaiIPL,"Living up to the Super Kings style! Great win to start, @JSKSA20! 🥳🦁

#EverywhereWeGo #WhistleForJoburg #Yellove 🦁💛",3488,241,2023-01-11 19:13:54+00:00
69,ChennaiIPL,"Faf is all of us! 
#WhistlePodu #Yellove 🦁💛 https://t.co/kS5tjxtdE8 https://t.co/EpBbNguqGc",5557,288,2023-01-11 16:52:10+00:00
70,ChennaiIPL,"Sending whistles all the way from Anbuden to the Joburg Super Kings and my dear friend Leeu! 💪🏻

Are you ready, Superfans? 🥳

#WhistlePodu #Yellove 🦁💛 https://t.co/0oHn3Y1Z71",2615,168,2023-01-11 14:40:10+00:00
71,ChennaiIPL,"Awesome 🏏 🆚Assam 🔥

#RanjiTrophy #WhistlePodu 🦁💛 https://t.co/kDMFp0JS4r",3046,142,2023-01-11 14:20:23+00:00
72,ChennaiIPL,"Look up, look down! 
Read the bat! 💯

#PAKvNZ #WhistlePodu 🦁💛 https://t.co/J2QocWizEo",5110,208,2023-01-11 12:44:09+00:00
73,ChennaiIPL,"Super beginnings on the cards! Go well, @JSKSA20 🥳

#WhistlePodu #Yellove 🦁💛 https://t.co/TajciFrMMX",1651,103,2023-01-11 12:07:41+00:00
74,ChennaiIPL,"Home ground wishlist ✅ 🥳

➡️ 1️⃣9️⃣5️⃣🏏
➡️ Super Fans ✍️💛

#RanjiTrophy #WhistlePodu 🦁💛 https://t.co/hIqg5UoSrw",3714,180,2023-01-11 08:07:14+00:00
75,ChennaiIPL,"Not salsa, not flamenco! 😉
It's Naatu Naatu! 🏅🌏 👏

#NaatuNaatu",13567,2322,2023-01-11 04:59:48+00:00
76,ChennaiIPL,"Wall thooki ninnaan paaru! 💪

Super Birthday to the man of extreme patience and dedication to the sport! 🤩

#WhistlePodu #Yellove 🦁💛 https://t.co/HLszyVkf1K",2982,178,2023-01-11 04:22:42+00:00
77,ChennaiIPL,"Swing &amp; Win! 🥳🇮🇳

#INDvSL #WhistlePodu 🦁💛
📸: @BCCI https://t.co/20jPeHwkW1",2459,110,2023-01-10 16:02:01+00:00
78,ChennaiIPL,"Runs and Ranji! 
Meet 
Rahane and Rutu!🥳

#RanjiTrophy #WhistlePodu 🦁💛 https://t.co/hKKixnSYyT",2464,144,2023-01-10 14:25:10+00:00
79,ChennaiIPL,"PSBB Millennium crowned the Junior Super Kings of Chennai Phase 2022-23! 🥳

#TheRoarStartsHere 🦁 https://t.co/xdUbnJ3xh8",1176,73,2023-01-10 12:36:17+00:00
80,ChennaiIPL,"Blockbuster 💥

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/cd6E9fvPBi",6816,334,2023-01-10 12:18:45+00:00
81,ChennaiIPL,"AataNayagan 🥳

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/3wzAOr9L3B",11269,603,2023-01-10 11:50:37+00:00
82,ChennaiIPL,"7️⃣3️⃣ 🤝'2️⃣3️⃣ 👑 @imVkohli

#INDvSL #WhistlePodu 🦁💛",12657,670,2023-01-10 11:29:21+00:00
83,ChennaiIPL,"RO and Gill!👏
Setting the tempo 💪 for the rest of the game 💥! 

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/qkg4LMuoyv",2785,132,2023-01-10 10:18:54+00:00
84,ChennaiIPL,"As 🇮🇳 take to the middle today at Guwahati, the cubs take to the big stage for the Junior Super Kings Chennai Finale! 

Watch the action live 🔗➡️ https://t.co/3bUKrKwtXb

#TheRoarStartsHere https://t.co/qmpmaiHouO",1762,62,2023-01-10 09:15:49+00:00
85,ChennaiIPL,"Gorgeous beginnings @ Guwahati 💥

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/vHQYQA47Vp",1836,89,2023-01-10 08:46:09+00:00
86,ChennaiIPL,"Get a piece of the Junior Super Kings Chennai Finale Live Action! 

🔗➡️ https://t.co/3bUKrKwtXb

#TheRoarStartsHere https://t.co/zi7RsMTU6e",1160,58,2023-01-10 07:31:26+00:00
87,ChennaiIPL,"Here to make our Tuesdays better with some white ball cricket! 🥳

#INDvSL #WhistlePodu 🦁💛 https://t.co/FRyxAB0NeT",2825,108,2023-01-10 04:37:24+00:00
88,ChennaiIPL,"The final challenge is set and the Junior Super Kings - Chennai title is there for the taking! 💪🏻

 Go well tomorrow, boys! 🦁

#TheRoarStartsHere https://t.co/ort9SVdH4C",1344,86,2023-01-09 16:01:54+00:00
89,ChennaiIPL,"The day of Junior Super Kings - Chennai Semi Finals saw intense action all around! 🦁

PSBB Millennium, Ramachandraa Public School advance to final!

#TheRoarStartsHere",1088,65,2023-01-09 13:51:18+00:00
90,ChennaiIPL,"When ⚡ strikes twice in a 📸
#WhistlePodu #Yellove 🦁💛 https://t.co/Q43gL1wTPQ",11762,608,2023-01-09 13:05:52+00:00
91,ChennaiIPL,"A glorious run in green, Dwaine! 🇿🇦
More 🔥 to you!

#WhistlePodu #Yellove 🦁💛 https://t.co/N515Vsb7kp",3752,178,2023-01-09 09:53:10+00:00
92,ChennaiIPL,"What's Nanbenda in Marathi? 
Show them this picture! 💛

#WhistlePodu #Yellove 🦁💛 https://t.co/ZqZmBjEyKZ",5389,197,2023-01-09 08:13:12+00:00
93,ChennaiIPL,"Some monday morning cricket action in the neighbourhood to wake up to! 🏏

Watch the semi final of the Chennai phase of the Junior Super Kings LIVE! 🦁

 🔗➡️ https://t.co/u1wjyUVOto

#TheRoarStartsHere https://t.co/ogrCvO37wf",3265,129,2023-01-09 03:58:30+00:00
94,ChennaiIPL,Another Yellove Army of Super Dads! 😉 https://t.co/T6ojfYd0Oh,4475,183,2023-01-08 16:03:51+00:00
95,ChennaiIPL,"For the show must go on! 

On to the knockout stages of the Junior Super Kings tournament at Chennai! 🦁

#TheRoarStartsHere @SuperKingsAcad https://t.co/dvs3C5TZqD",1203,81,2023-01-08 07:25:43+00:00
96,ChennaiIPL,"Runs Runs Runs! 
SKY’s Code for the win! 🏏⚡️

#INDvSL #WhistlePodu 🦁💛 https://t.co/gbU7Kz3oSI",5091,214,2023-01-08 04:58:11+00:00
97,ChennaiIPL,"𝕸𝖎𝖘𝖘𝖎𝖔𝖓 𝕻𝖆𝖘𝖘𝖊𝖉! 
        𝕽𝖊𝖘𝖕𝖊𝖈𝖙

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/nqT3Pjbi8Z",4003,168,2023-01-08 04:04:56+00:00
98,ChennaiIPL,"Wins and Whistles! 
The W Combo! 🥳

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/gsuBjkwqc3",2799,137,2023-01-07 16:52:23+00:00
99,ChennaiIPL,"The Customary Surya Shine!💥

#INDvSL #WhistlePodu 🦁💛

https://t.co/zZZUmyNEC1",6453,367,2023-01-07 15:24:36+00:00
100,ChennaiIPL,"This SKY's visibility is always BRIGHT 🔥

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/iTzkHSgo5h",7233,311,2023-01-07 14:57:52+00:00
101,ChennaiIPL,"Looking Fafulous 🔥
#Yellove 🦁💛 https://t.co/6FQVibc1o2",4395,252,2023-01-07 14:14:41+00:00
102,ChennaiIPL,"It all comes down to this!🏏💥

#INDvSL #WhistlePodu 🦁💛 https://t.co/lyqSDuzQIN",3077,126,2023-01-07 12:44:27+00:00
103,ChennaiIPL,"The smiles return tonight! All hands on deck! 😁💪

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/7gDqzwvUu2",3869,141,2023-01-07 06:47:06+00:00
104,ChennaiIPL,"An apple a day! 🍎
Eat healthy 💪🫵🏻

#WhistlePodu #Yellove 🦁💛 https://t.co/GC3G4lpQvb",5912,253,2023-01-07 05:34:56+00:00
105,ChennaiIPL,"Woot woot Whistles for the Super Squad Winners! 👏

#WhistlePodu #Yellove 🦁💛 https://t.co/0211G47LoL",1835,97,2023-01-06 15:22:18+00:00
106,ChennaiIPL,"From Arabic Kadaloram to New York Nagaram! Your music is our vibe, everywhere we go! 🎙️

Super Birthday Isaipuyal 🤩

#WhistlePodu #Yellove 🦁💛 @arrahman https://t.co/fISJnyjb4O",4179,283,2023-01-06 12:45:50+00:00
107,ChennaiIPL,"To the Hero of  🇮🇳🏏 

⏮️🎥 Rewind to this memory with the birthday star! 

#WhistlePodu #Yellove 🦁💛 https://t.co/8UUqwtIAhL",2184,153,2023-01-06 07:38:42+00:00
108,ChennaiIPL,"Here’s wishing you a joyful season ahead, Leeu! 

Leo will be sure to #WhistleForJoburg 🥳 https://t.co/tXn7KGKvjJ",2071,135,2023-01-06 05:09:38+00:00
109,ChennaiIPL,"From All India Radio to Twitter gen! An icon who has stood as a beacon of inspiration across generations! Super Birthday to you, Kapil Paaji! 

#WhistlePodu #Yellove 🦁💛 https://t.co/8yQuhIbKMl",3996,200,2023-01-06 03:52:24+00:00
110,ChennaiIPL,"Appreciation post for the Super performers of the Night 🇮🇳

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/daBk0D8MVI",6101,305,2023-01-05 17:15:10+00:00
111,ChennaiIPL,"Ｍａｖｉｒａｎ😲💥

#INDvSL #WhistlePodu 🦁💛",2438,135,2023-01-05 17:05:17+00:00
112,ChennaiIPL,"Axar 🔁 Sixer!
Repeatu..

#INDvSL #WhistlePodu 🦁💛",2536,138,2023-01-05 16:43:41+00:00
113,ChennaiIPL,@JSKSA20 DM some Hint ? 🙄😁,420,21,2023-01-05 16:20:04+00:00
114,ChennaiIPL,"On to it like a flash! ⚡
🏏🎯2️⃣0️⃣7️⃣

#INDvSL #WhistlePodu
📸: @BCCI https://t.co/Q9jzg5HlwJ",2093,115,2023-01-05 15:13:14+00:00
115,ChennaiIPL,"Screamer delight for the homecrowd ft. Rahul Tripathi! 🦸🏻‍♂️

#WhistlePodu #INDvSL",1713,93,2023-01-05 14:27:47+00:00
116,ChennaiIPL,"Thriller Thursday Night! 🔥🔜
#INDvSL #WhistlePodu https://t.co/QqfG0bgPYK",3847,126,2023-01-05 10:23:09+00:00
117,ChennaiIPL,"Good Morning Singara Chennai 💛

Drop your 📸 of the city with #ChennaiSuperKlicks and get featured! 

#WhistlePodu #Yellove 🦁💛
📷 : Sugan https://t.co/iWgOqN8STh",2904,154,2023-01-05 04:37:58+00:00
118,ChennaiIPL,"Theekshana's three digit 🔥 code!

#WhistlePodu #Yellove 🦁💛 https://t.co/1iXpp6wyg3",4835,200,2023-01-04 16:18:56+00:00
119,ChennaiIPL,"Leo's cut 🔜

But first lets see Namma Superfan versions! 🎥👇

#WhistlePodu 🦁💛 https://t.co/fVCnD7bv49",2216,323,2023-01-04 14:34:57+00:00
120,ChennaiIPL,"Small wonder ✨️

📸 : @jyojohnm 
#WhistlePodu #Yellove 🦁💛 https://t.co/nbKzW0lfKh",10462,727,2023-01-04 11:45:51+00:00
121,ChennaiIPL,"Super Coach talks about the emotion of Anbuden Fan Base 💛

📹👇

#WhistlePodu #Yellove 🦁💛 @SPFleming7",2081,125,2023-01-04 07:07:22+00:00
122,ChennaiIPL,"All we sea is 💛😉!

#WhistlePodu #Yellove 🦁 @imjadeja https://t.co/7O6GlvfPxC",9355,330,2023-01-04 04:00:46+00:00
123,ChennaiIPL,"Some 🤩 four your night!
Courtesy : Mavi 🔥

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/0MOsrQlo8x",3821,192,2023-01-03 17:31:31+00:00
124,ChennaiIPL,Won by 2️⃣ Runs 💪🇮🇳 https://t.co/IirSIBoHWn,10919,518,2023-01-03 17:19:03+00:00
